antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ethnicity=Not Hispanic or Latino, outcome=originated, sex=Male",loan_type=Conventional,0.21959586784047314,0.8488224891525981,0.19015084894811607,0.8659126914275656,1.0201340121089735,1.0,0.0037529378001407154,1.1274557783053367,0.025290274177455094,0.21650675586461862,0.11304725272410579,0.5449649525651097
"occupancy=PrimaryRes, sex=Male",race=White,0.36285888230689695,0.7131647355553193,0.2612266986210029,0.7199126474739673,1.0094619259509425,1.0,0.0024485397767060046,1.024092169310004,0.014711398802432267,0.3206034441861569,0.02352539159266937,0.5431024368279469
"loan_type=Conventional, sex=Male",race=White,0.32673630908089407,0.7131647355553193,0.2402373382553319,0.7352636715861701,1.030987140739149,1.0,0.007220524793334987,1.0834752682537254,0.04464194032296375,0.3004229607250755,0.07704399971054746,0.536062302330572
"race=White, sex=Male",loan_type=Conventional,0.27604101235975687,0.8488224891525981,0.2402373382553319,0.8702958165587257,1.0252977833181176,1.0,0.005927519035919981,1.1655561666278098,0.034081483140978405,0.2715693342946407,0.14204048793873,0.5766600273180368
"outcome=originated, sex=Male",race=White,0.28041862757414404,0.7131647355553193,0.20726510180612867,0.739127438141843,1.036404916412906,1.0,0.007280425427428655,1.0995225500205739,0.04881470413076195,0.26358932763091597,0.09051433280628178,0.5148773412067228
"loan_type=Conventional, occupancy=PrimaryRes, sex=Male",race=White,0.30347600042519884,0.7131647355553193,0.2254423517360675,0.7428671506814418,1.0416487434743869,1.0,0.009013970145444583,1.1155138878787307,0.05740431302609105,0.28493783130175643,0.103552173696728,0.5294912725994914
"occupancy=PrimaryRes, race=White, sex=Male",loan_type=Conventional,0.2612266986210029,0.8488224891525981,0.2254423517360675,0.863014205386209,1.0167192981041053,1.0,0.003707255179472263,1.1035999117545154,0.02225900681211436,0.25485033864977064,0.09387451978843599,0.5643042155271039
"loan_type=Conventional, sex=Male","occupancy=PrimaryRes, race=White",0.32673630908089407,0.6843381876866285,0.2254423517360675,0.6899825500576736,1.0082479137838642,1.0,0.0018442181282303516,1.0182065957000008,0.012150428297568822,0.28695662869935307,0.017881042783349867,0.5097068760229624
"race=White, sex=Male","loan_type=Conventional, occupancy=PrimaryRes",0.27604101235975687,0.8023791807191658,0.2254423517360675,0.8166987572203745,1.0178463958752946,1.0,0.003952790393956657,1.0781204550720067,0.02421889449041892,0.2643003614034691,0.07245985799127538,0.5488330533822604
"occupancy=PrimaryRes, outcome=originated, sex=Male",race=White,0.26446400788550556,0.7131647355553193,0.19669311274533488,0.743742463550992,1.0428761076805948,1.0,0.008086708497768408,1.1193242096189326,0.05589573948061509,0.25186853437608275,0.10660379592750514,0.5097728293581191
"outcome=originated, sex=Male","occupancy=PrimaryRes, race=White",0.28041862757414404,0.6843381876866285,0.19669311274533488,0.7014267006685505,1.0249708598605156,1.0,0.004791937357673526,1.0572338953958234,0.03385650051987763,0.2560895822848515,0.05413550931830017,0.4944238112470633
"loan_type=Conventional, outcome=originated, sex=Male",race=White,0.23648785767435568,0.7131647355553193,0.17960785071655666,0.7594802222948676,1.0649436019904768,1.0,0.010953050236180789,1.1925641507798546,0.07987186320583889,0.23324339587124304,0.16147068537481266,0.5056632266368035
"outcome=originated, race=White, sex=Male",loan_type=Conventional,0.20726510180612867,0.8488224891525981,0.17960785071655666,0.8665609847071988,1.0208977681214708,1.0,0.0036765710870118873,1.1329333517313334,0.02582198795943247,0.20491956912424614,0.1173355445209433,0.5390787322752725
"outcome=originated, sex=Male","loan_type=Conventional, race=White",0.28041862757414404,0.6284438689227975,0.17960785071655666,0.6404990006203046,1.0191825114280622,1.0,0.003380483485840524,1.0335329574001402,0.026156136215730676,0.24628962154139722,0.03244498122681314,0.46314838086126564
"race=White, sex=Male","loan_type=Conventional, outcome=originated",0.27604101235975687,0.6462925561214136,0.17960785071655666,0.6506563976894801,1.0067521148537673,1.0,0.001204599244226695,1.012491545685121,0.00926410153711279,0.241822581904291,0.012337432088549725,0.46428063533452013
"ethnicity=Not Hispanic or Latino, race=White, sex=Male",loan_type=Conventional,0.19584271508779388,0.8488224891525981,0.1771532938413815,0.9045692292509623,1.0656753806723684,1.0,0.010917592938157222,1.5841589632024045,0.07663667701612177,0.2042084860366934,0.3687502181103828,0.5566369946020286
"loan_type=Conventional, sex=Male","ethnicity=Not Hispanic or Latino, race=White",0.32673630908089407,0.5247340091417748,0.1771532938413815,0.5421904114045725,1.0332671447984634,1.0,0.005703640445177877,1.0381302679053848,0.04782089662368599,0.26271514352455616,0.03672975259869796,0.43989815229528806
"ethnicity=Not Hispanic or Latino, race=White, sex=Male",outcome=originated,0.19584271508779388,0.761105903499193,0.1510228930914854,0.771143787624593,1.013188551132307,1.0,0.001965846480854988,1.0438610952318577,0.016186979367881986,0.18739058490611288,0.042018133861110536,0.48478469218710607
"outcome=originated, sex=Male","ethnicity=Not Hispanic or Latino, race=White",0.28041862757414404,0.5247340091417748,0.1510228930914854,0.5385622716934316,1.0263528993942541,1.0,0.0038777024064705345,1.029967776155637,0.035682212738077,0.23087605259270202,0.029095838578068734,0.41318537157415597
"loan_type=Conventional, sex=Male",dti_bin=DTI_Medium,0.32673630908089407,0.5067017133580077,0.1673254027309361,0.5121114430215018,1.0106763595245076,1.0,0.0017675551033755066,1.0110880437471144,0.015690106417693552,0.2511968663861889,0.010966447299704774,0.4211680532039271
"dti_bin=DTI_Medium, sex=Male",loan_type=Conventional,0.18878827997410152,0.8488224891525981,0.1673254027309361,0.8863124488124487,1.0441670197702677,1.0,0.007077665000481653,1.3297631030683668,0.052142747027462216,0.19226498478758133,0.24798635358993923,0.5417194722402806
"outcome=originated, sex=Male",dti_bin=DTI_Medium,0.28041862757414404,0.5067017133580077,0.15668576840192885,0.558756633813495,1.102732868437546,1.0,0.01459716935260899,1.1179732647436216,0.12946702915716876,0.2485361292498237,0.10552422715643002,0.4339917356808254
"dti_bin=DTI_Medium, sex=Male",outcome=originated,0.18878827997410152,0.761105903499193,0.15668576840192885,0.829954954954955,1.0904592266847855,1.0,0.012997894002181709,1.4048871370378582,0.10226080864958678,0.19753417314392924,0.2881990491361069,0.5179104383713322
"dti_bin=DTI_Medium, sex=Male",ethnicity=Not Hispanic or Latino,0.18878827997410152,0.7908118398546593,0.15088760255505843,0.7992424242424243,1.010660670418534,1.0,0.0015915955257426728,1.0419938543088672,0.013003041090716557,0.1820747236344979,0.04030144144825198,0.4950216569241058
"dti_bin=DTI_Medium, sex=Male",race=White,0.18878827997410152,0.7131647355553193,0.1376098027657251,0.7289107289107288,1.0220790408868836,1.0,0.002972659002051403,1.0580841628004682,0.026629407564209027,0.18003666477021302,0.05489559795199548,0.4609336365186715
"dti_bin=DTI_Medium, sex=Male",loan_purpose=Purchase,0.18878827997410152,0.5997816024197679,0.12043756824924383,0.6379504504504505,1.0636379106606366,1.0,0.007205831168305449,1.1054243765202059,0.07375439210002654,0.18026005582956076,0.0953700486071006,0.41937641105965956
"loan_purpose=Purchase, sex=Male",dti_bin=DTI_Medium,0.2263990491008011,0.5067017133580077,0.12043756824924383,0.5319702919583404,1.0498687451298971,1.0,0.005720782167244184,1.0539892621476146,0.06140114052799976,0.19658038770327607,0.05122373072151212,0.38482978876820023
"loan_type=Conventional, occupancy=PrimaryRes, sex=Male",dti_bin=DTI_Medium,0.30347600042519884,0.5067017133580077,0.15623157874392402,0.5148070309514712,1.015996230878613,1.0,0.0024597693654402897,1.0167053484088158,0.022604217727576127,0.23890588287449574,0.01643086508294691,0.4115687517727947
"dti_bin=DTI_Medium, occupancy=PrimaryRes, sex=Male",loan_type=Conventional,0.17768479237734464,0.8488224891525981,0.15623157874392402,0.8792625224343287,1.0358614830199888,1.0,0.005408730993623767,1.2521175188969285,0.04210059548262539,0.17951963756287684,0.20135292022671733,0.5316596774882119
"dti_bin=DTI_Medium, sex=Male","loan_type=Conventional, occupancy=PrimaryRes",0.18878827997410152,0.8023791807191658,0.15623157874392402,0.8275491400491402,1.031369158042479,1.0,0.004751793328923948,1.1459543857139742,0.03749337240789203,0.18711805555555558,0.127364917429099,0.5111297747071585
"occupancy=PrimaryRes, outcome=originated, sex=Male",dti_bin=DTI_Medium,0.26446400788550556,0.5067017133580077,0.14783390187570666,0.5589944093250996,1.1032021297511276,1.0,0.013829535958595318,1.1185760386553487,0.1271831681780094,0.23716726353813006,0.10600623878720848,0.42537583303345416
"dti_bin=DTI_Medium, occupancy=PrimaryRes, sex=Male",outcome=originated,0.17768479237734464,0.761105903499193,0.14783390187570666,0.8320008701800186,1.0931473088763142,1.0,0.012596957435281247,1.4219960350794234,0.1036223173073331,0.1869051546139843,0.2967631587354275,0.5131182613977797
"outcome=originated, sex=Male","dti_bin=DTI_Medium, occupancy=PrimaryRes",0.28041862757414404,0.483644340506953,0.14783390187570666,0.527190019987594,1.0900365740556308,1.0,0.0122110196767449,1.0920997468782243,0.11478839381153089,0.23990089072889223,0.08433272431523982,0.41642829004494786
"dti_bin=DTI_Medium, sex=Male","occupancy=PrimaryRes, outcome=originated",0.18878827997410152,0.7276118321237716,0.14783390187570666,0.7830671580671581,1.0762155362173291,1.0,0.01046931560025513,1.255633611993865,0.08729915413413601,0.1923502489563949,0.20358933493978015,0.49312201901551656
"loan_type=Conventional, outcome=originated, sex=Male",dti_bin=DTI_Medium,0.23648785767435568,0.5067017133580077,0.1399773871531972,0.5919009480222295,1.1681447534479217,1.0,0.02014858448123652,1.208770969330413,0.18852576418097527,0.2320533153906538,0.17271342100982096,0.43407649910933344
"dti_bin=DTI_Medium, loan_type=Conventional, sex=Male",outcome=originated,0.1673254027309361,0.761105903499193,0.1399773871531972,0.8365578977764945,1.0991346853708663,1.0,0.01262503532930176,1.4616435621595318,0.10831769354239809,0.17753401152101975,0.3158386723760943,0.5102355258308577
"dti_bin=DTI_Medium, outcome=originated, sex=Male",loan_type=Conventional,0.15668576840192885,0.8488224891525981,0.1399773871531972,0.8933637597138276,1.052474187631028,1.0,0.006978983203484473,1.4176935574781822,0.05912141788527645,0.16172431503025703,0.2946289452152006,0.5291357432629955
"dti_bin=DTI_Medium, sex=Male","loan_type=Conventional, outcome=originated",0.18878827997410152,0.6462925561214136,0.1399773871531972,0.741451678951679,1.1472384633382482,1.0,0.01796492712297007,1.3680515984185437,0.1582097923848549,0.20137633810649244,0.2690334186546826,0.47901842758271906
"ethnicity=Not Hispanic or Latino, occupancy=PrimaryRes, sex=Male",dti_bin=DTI_Medium,0.27897874972217124,0.5067017133580077,0.14157188276108656,0.5074647545810385,1.001505898249236,1.0,0.00021287228638758315,1.0015492114120315,0.0020854224878318586,0.21979505798688728,0.0015468150684749826,0.39343180895699514
"dti_bin=DTI_Medium, occupancy=PrimaryRes, sex=Male",ethnicity=Not Hispanic or Latino,0.17768479237734464,0.7908118398546593,0.14157188276108656,0.7967585794311197,1.007519790772927,1.0,0.0010566451869655213,1.029259486377409,0.009076404644179468,0.17120286078227437,0.028427706292405416,0.48788976213533647
"ethnicity=Not Hispanic or Latino, loan_type=Conventional, sex=Male",dti_bin=DTI_Medium,0.25722596418666227,0.5067017133580077,0.13525188198799779,0.5258096025246074,1.0377103306795,1.0,0.004915045214450464,1.040295816339451,0.04892462281976193,0.21513772749631088,0.038734959524534256,0.39636782144005095
"dti_bin=DTI_Medium, loan_type=Conventional, sex=Male",ethnicity=Not Hispanic or Latino,0.1673254027309361,0.7908118398546593,0.13525188198799779,0.8083164885937049,1.0221350362461223,1.0,0.0029289723999243733,1.0913205763532914,0.0260073826007911,0.16436297018308219,0.08367896503742658,0.48967282258949363
"dti_bin=DTI_Medium, ethnicity=Not Hispanic or Latino, sex=Male",loan_type=Conventional,0.15088760255505843,0.8488224891525981,0.13525188198799779,0.8963750480338156,1.0560217942961083,1.0,0.007175091604945172,1.4588910101182508,0.062476825042998396,0.15645855458051533,0.31454783594907154,0.5278578224105233
"dti_bin=DTI_Medium, sex=Male","ethnicity=Not Hispanic or Latino, loan_type=Conventional",0.18878827997410152,0.6850822856369768,0.13525188198799779,0.7164209664209663,1.04574440390741,1.0,0.005916375641866811,1.1105112757754545,0.05392351662092601,0.18311462326482014,0.09951387094046939,0.4569226268635942
"ethnicity=Not Hispanic or Latino, outcome=originated, sex=Male",dti_bin=DTI_Medium,0.21959586784047314,0.5067017133580077,0.12668026014437433,0.5768790705861644,1.1384983618134585,1.0,0.015410657663267963,1.1658565018879492,0.1558808144323839,0.21126851359409501,0.14226150612821278,0.4134443031917739
"dti_bin=DTI_Medium, ethnicity=Not Hispanic or Latino, sex=Male",outcome=originated,0.15088760255505843,0.761105903499193,0.12668026014437433,0.8395670552068656,1.1030883499220627,1.0,0.011838815074879439,1.4890588514026342,0.11006116574342589,0.16131175782932386,0.3284348707520594,0.5030047058665105
"dti_bin=DTI_Medium, outcome=originated, sex=Male",ethnicity=Not Hispanic or Latino,0.15668576840192885,0.7908118398546593,0.12668026014437433,0.8084988281731837,1.0223656088934823,1.0,0.0027712993554039334,1.0923596871486492,0.02594090150647972,0.15433428695887638,0.08455061847781346,0.4843444845951824
"dti_bin=DTI_Medium, sex=Male","ethnicity=Not Hispanic or Latino, outcome=originated",0.18878827997410152,0.6093002580183802,0.12668026014437433,0.6710176085176085,1.1012921785064573,1.0,0.011651512445308085,1.1876007716435233,0.11338070166170343,0.1886784305823426,0.15796619211008278,0.4394643323233869
"dti_bin=DTI_Medium, occupancy=PrimaryRes, sex=Male",race=White,0.17768479237734464,0.7131647355553193,0.13056503126177751,0.7348126393647685,1.030354703100389,1.0,0.0038465032937867183,1.081632487150193,0.03582621349120752,0.17173180807117888,0.07547155630030344,0.45894550043009086
"dti_bin=DTI_Medium, sex=Male","occupancy=PrimaryRes, race=White",0.18878827997410152,0.6843381876866285,0.13056503126177751,0.6915950040950041,1.0106041377478976,1.0,0.001370001887825073,1.0235301519259794,0.012934810544485503,0.17583061126221677,0.022989212268639724,0.4411926104975698
"dti_bin=DTI_Medium, loan_type=Conventional, sex=Male",race=White,0.1673254027309361,0.7131647355553193,0.12495047400005799,0.7467513716430841,1.0470952003278904,1.0,0.005619897409762639,1.1326231707775707,0.05401509746138512,0.16537910569937583,0.11709381743137219,0.4609784988677893
"loan_type=Conventional, race=White, sex=Male",dti_bin=DTI_Medium,0.2402373382553319,0.5067017133580077,0.12495047400005799,0.5201126307320998,1.0264670851124922,1.0,0.003221803093514067,1.0279459686437493,0.03393775731208488,0.200888695544093,0.027186223299869142,0.38335417553311707
"dti_bin=DTI_Medium, race=White, sex=Male",loan_type=Conventional,0.1376098027657251,0.8488224891525981,0.12495047400005799,0.9080056179775282,1.06972379924101,1.0,0.008144178684657138,1.643334163715272,0.07557977146323804,0.14504133621995133,0.39148103770983106,0.5276050495024429
"dti_bin=DTI_Medium, sex=Male","loan_type=Conventional, race=White",0.18878827997410152,0.6284438689227975,0.12495047400005799,0.6618550368550369,1.0531649198670818,1.0,0.006307636925853344,1.0988072323227716,0.062229249374555984,0.1804908009715514,0.08992226244625523,0.43034011530290284
"dti_bin=DTI_Medium, outcome=originated, sex=Male",race=White,0.15668576840192885,0.7131647355553193,0.11676539654622588,0.7452201800912791,1.044948162658378,1.0,0.005022631958582269,1.125816261850896,0.051006763533786914,0.15504940331066341,0.11175559113353725,0.4544743429487954
"outcome=originated, race=White, sex=Male",dti_bin=DTI_Medium,0.20726510180612867,0.5067017133580077,0.11676539654622588,0.5633625512868332,1.1118228662645,1.0,0.011743814341738573,1.1297663269511424,0.12687236657773884,0.19552096312238063,0.11486120966389385,0.3969023154267633
"dti_bin=DTI_Medium, race=White, sex=Male",outcome=originated,0.1376098027657251,0.761105903499193,0.11676539654622588,0.8485252808988765,1.1148583620200183,1.0,0.012029763281872927,1.5771218980859956,0.11946456654564874,0.14932585241667387,0.3659336027141555,0.5009703601040852
"dti_bin=DTI_Medium, sex=Male","outcome=originated, race=White",0.18878827997410152,0.5638329741691711,0.11676539654622588,0.618499180999181,1.0969546112668607,1.0,0.010320339160146047,1.143292501896025,0.10895460605590462,0.18363500965060262,0.12533319483718297,0.4127956776349554
"ethnicity=Not Hispanic or Latino, race=White, sex=Male",dti_bin=DTI_Medium,0.19584271508779388,0.5067017133580077,0.10315903402556992,0.5267443007993685,1.039555002308034,1.0,0.003925194741900603,1.0423504407347115,0.047316535804026894,0.17210802095929065,0.04062975279682361,0.36516678746723585
"dti_bin=DTI_Medium, sex=Male","ethnicity=Not Hispanic or Latino, race=White",0.18878827997410152,0.5247340091417748,0.10315903402556992,0.546427108927109,1.0413411355227655,1.0,0.00409540299577979,1.047827152398859,0.04893900782309386,0.16901252355092541,0.04564412392765837,0.3715100553843648
"dti_bin=DTI_Medium, occupancy=PrimaryRes, sex=Male",loan_purpose=Purchase,0.17768479237734464,0.5997816024197679,0.11266802601443743,0.6340893022243976,1.0572003203603082,1.0,0.0060959565167299085,1.0937597616390795,0.0657965092142023,0.16947698927232024,0.08572244557486161,0.4109688608244406
"loan_purpose=Purchase, occupancy=PrimaryRes, sex=Male",dti_bin=DTI_Medium,0.21211623389801026,0.5067017133580077,0.11266802601443743,0.5311617312072893,1.0482730119209196,1.0,0.005188366867267702,1.052171547156907,0.05844775571477174,0.18587485053806296,0.049584639784149946,0.3767587272964394
"dti_bin=DTI_Medium, sex=Male","loan_purpose=Purchase, occupancy=PrimaryRes",0.18878827997410152,0.5701529749422599,0.11266802601443743,0.5967956592956593,1.0467290105012563,1.0,0.00502982655297117,1.066077374828997,0.05503235618431027,0.17433497315968122,0.061981781425195406,0.39720291439359234
"dti_bin=DTI_Medium, outcome=originated, sex=Male",loan_purpose=Purchase,0.15668576840192885,0.5997816024197679,0.11061934074854321,0.7059948192919699,1.1770864868873836,1.0,0.016642099500061694,1.3612630791621323,0.17839702960567072,0.17127766223272933,0.26538814186049364,0.4452137599827233
"loan_purpose=Purchase, outcome=originated, sex=Male",dti_bin=DTI_Medium,0.19859684386505735,0.5067017133580077,0.11061934074854321,0.5570045253272347,1.099274998767738,1.0,0.009989979694625908,1.1135515255689348,0.11268925068985862,0.18601514511358833,0.10197240357685214,0.38765853531113614
"dti_bin=DTI_Medium, loan_purpose=Purchase, sex=Male",outcome=originated,0.12043756824924383,0.761105903499193,0.11061934074854321,0.918478696942951,1.206768588602762,1.0,0.018953596550956756,2.9304499258755445,0.19480221679315046,0.14348926995587646,0.658755472608451,0.5319094855969199
"dti_bin=DTI_Medium, sex=Male","loan_purpose=Purchase, outcome=originated",0.18878827997410152,0.5341077105942154,0.11061934074854321,0.5859438984438985,1.0970519369436051,1.0,0.009786064744556094,1.1251912184239596,0.10905430197213992,0.18066888681955207,0.11126217159720936,0.3965272233308691
"dti_bin=DTI_Medium, loan_type=Conventional, sex=Male",loan_purpose=Purchase,0.1673254027309361,0.5997816024197679,0.10521738290120891,0.6288189431129079,1.0484131900278224,1.0,0.0048586847257150595,1.078229586759253,0.05545694073447734,0.1589651497233294,0.07255373783090237,0.40212255118136936
"loan_purpose=Purchase, loan_type=Conventional, sex=Male",dti_bin=DTI_Medium,0.18271953305437713,0.5067017133580077,0.10521738290120891,0.5758409138988787,1.1364495100730416,1.0,0.012633082438580898,1.163002992995859,0.14690978242057637,0.18010388063651703,0.14015698495836912,0.3917462188596503
"dti_bin=DTI_Medium, loan_purpose=Purchase, sex=Male",loan_type=Conventional,0.12043756824924383,0.8488224891525981,0.10521738290120891,0.8736259327609723,1.0292210019472225,1.0,0.0029872664323998543,1.1962700429785196,0.032278979213467916,0.12177336375430592,0.16406834237012136,0.498791403713273
"dti_bin=DTI_Medium, sex=Male","loan_purpose=Purchase, loan_type=Conventional",0.18878827997410152,0.4870845855760961,0.10521738290120891,0.5573300573300572,1.1442161666251023,1.0,0.013261521788399677,1.1586858853128335,0.15537160475030257,0.1843798685903949,0.13695332559435644,0.3866723296728851
"outcome=originated, sex=Male",loan_purpose=Purchase,0.28041862757414404,0.5997816024197679,0.19859684386505735,0.7082155903232477,1.180789119682918,1.0,0.030406910070285148,1.37162365194085,0.2127747235695064,0.2913671614705174,0.27093703977399475,0.5196654273596066
"loan_purpose=Purchase, sex=Male",outcome=originated,0.2263990491008011,0.761105903499193,0.19859684386505735,0.8771982243469353,1.1525311002240377,1.0,0.02628319104783397,1.9453635359127233,0.17107586896640944,0.25173634503962666,0.4859572611805838,0.5690650847483788
"loan_type=Conventional, outcome=originated, sex=Male",loan_purpose=Purchase,0.23648785767435568,0.5997816024197679,0.16281249698012196,0.6884602811376267,1.147851615254773,1.0,0.020971430751378917,1.2846464619075868,0.1687036098896352,0.24175634954799832,0.22157571779313653,0.47995662527863836
"loan_purpose=Purchase, loan_type=Conventional, sex=Male",outcome=originated,0.18271953305437713,0.761105903499193,0.16281249698012196,0.8910514068119315,1.1707324863929087,1.0,0.023743581687819593,2.192723095454981,0.1784380119743259,0.20846325167037863,0.5439460631975036,0.5524835500286168
"outcome=originated, sex=Male","loan_purpose=Purchase, loan_type=Conventional",0.28041862757414404,0.4870845855760961,0.16281249698012196,0.5806051416362258,1.192000647997347,1.0,0.026224905980352375,1.2229892765614496,0.2238444291835462,0.269249208936619,0.18233134242060184,0.4574321637075661
"loan_purpose=Purchase, sex=Male","loan_type=Conventional, outcome=originated",0.2263990491008011,0.6462925561214136,0.16281249698012196,0.7191394912071026,1.1127151077259259,1.0,0.01649247683330779,1.2593705159859458,0.13094265754066145,0.22935242788494262,0.2059525077755912,0.48552856675817385
"ethnicity=Not Hispanic or Latino, outcome=originated, sex=Male",loan_purpose=Purchase,0.21959586784047314,0.5997816024197679,0.15134179221306326,0.6891832423869036,1.1490569894215703,1.0,0.019632230714944715,1.2876345556581046,0.16622303829174848,0.22654746922420405,0.22338213462366724,0.4707557045885474
"ethnicity=Not Hispanic or Latino, loan_purpose=Purchase, sex=Male",outcome=originated,0.1707173297513553,0.761105903499193,0.15134179221306326,0.8865051511377788,1.1647592628858368,1.0,0.0214078247096883,2.1048893310639687,0.17057331015789542,0.19390825233702716,0.5249156403417538,0.5426748711504029
"outcome=originated, sex=Male","ethnicity=Not Hispanic or Latino, loan_purpose=Purchase",0.28041862757414404,0.462297426580725,0.15134179221306326,0.5396994968640154,1.1674291610398457,1.0,0.021704982320237737,1.168155519613725,0.19930612771763545,0.2559154193084516,0.14394959985236291,0.4335341899964217
"loan_purpose=Purchase, sex=Male","ethnicity=Not Hispanic or Latino, outcome=originated",0.2263990491008011,0.6093002580183802,0.15134179221306326,0.6684736213078368,1.0971169181544507,1.0,0.01339679318082923,1.1784876471154102,0.11442607080101437,0.22114434183399698,0.15145483073352126,0.45842992416520295
"occupancy=PrimaryRes, outcome=originated, sex=Male",loan_purpose=Purchase,0.26446400788550556,0.5997816024197679,0.18666228583024902,0.705813571089268,1.176784296553484,1.0,0.02804163939832638,1.3604244052388783,0.20424098269659088,0.2754824079752414,0.2649352686197886,0.5085153312862639
"loan_purpose=Purchase, occupancy=PrimaryRes, sex=Male",outcome=originated,0.21211623389801026,0.761105903499193,0.18666228583024902,0.8799999999999999,1.1562122905027932,1.0,0.025219367982457747,1.9907841375067228,0.1714807864493259,0.23731478978794504,0.49768536871485747,0.5626256983240223
"outcome=originated, sex=Male","loan_purpose=Purchase, occupancy=PrimaryRes",0.28041862757414404,0.5701529749422599,0.18666228583024902,0.66565579984837,1.1675038614255793,1.0,0.02678077108962515,1.2856422359436717,0.1993822924760877,0.2811562982154813,0.2221786341158961,0.4965228151784223
"loan_purpose=Purchase, sex=Male","occupancy=PrimaryRes, outcome=originated",0.2263990491008011,0.7276118321237716,0.18666228583024902,0.82448352398839,1.1331364988690011,1.0,0.021931658922935415,1.5519236374037646,0.15187906276742716,0.24325617711507944,0.35563839875980346,0.5405122749168714
"loan_purpose=Purchase, outcome=originated, sex=Male",race=White,0.19859684386505735,0.7131647355553193,0.1430697422715281,0.7204029001021848,1.010149358466567,1.0,0.0014374766343834278,1.0258878384271897,0.012537240324222864,0.18612106354893457,0.025234569957354017,0.46050768726297875
"outcome=originated, race=White, sex=Male",loan_purpose=Purchase,0.20726510180612867,0.5997816024197679,0.1430697422715281,0.6902741514360313,1.1508758332219244,1.0,0.018755947384551927,1.2921698315972932,0.16537247781762504,0.21547395537702485,0.2261079189847147,0.4644052740874933
"loan_purpose=Purchase, race=White, sex=Male",outcome=originated,0.159633169374088,0.761105903499193,0.1430697422715281,0.8962406925358678,1.1775505726803472,1.0,0.021571994666623143,2.3023871529153035,0.17942113804209597,0.18397246315580187,0.5656681810729395,0.542108411275552
"outcome=originated, sex=Male","loan_purpose=Purchase, race=White",0.28041862757414404,0.41980653453290945,0.1430697422715281,0.5102005651664484,1.2153230671697721,1.0,0.025348170011152138,1.1845531542196606,0.24621749250242456,0.25678605498222185,0.15579980819116315,0.4254998958606976
